title;description;link;date_published
Nicolás Maduro anuncia nuevos ejercicios militares en las costas de Venezuela por 72 horas;"Maduro sostuvo que a la medianoche de este jueves llamó a ""quienes tenía que llamar"" y dio la orden de activar todos los equipos militares ""de inmediato"" para la defensa de los ""puntos de acción"" en t...";https://rpp.pe/mundo/actualidad/nicolas-maduro-anuncia-nuevos-ejercicios-militares-en-las-costas-de-venezuela-por-72-horas-noticia-1660705;2025-10-23T22:47:59
Latin Billboard 2025: lista completa de nominados, con Bad Bunny, Karol G y Rauw Alejandro entre los favoritos;En esta edición, Bad Bunny encabeza las nominaciones con 27 categorías, mientras que Fuerza Regida, Rauw Alejandro y Karol G también se perfilan entre los grandes favoritos....;https://rpp.pe/musica/internacional/latin-billboard-2025-lista-completa-de-nominados-de-premios-de-la-musica-latina-noticia-1660621;2025-10-23T22:45:15
Universitario vs. Sporting Cristal hoy EN VIVO: juegan en el Estadio Nacional por la fecha 14 del Torneo Clausura 2025;Sporting Cristal recibe a Universitario en un partido vital para ambos por una jornada pendiente de la Liga1 Te Apuesto....;https://rpp.pe/futbol/descentralizado/universitario-vs-sporting-cristal-ver-l1-max-transmision-gratis-desde-tu-celular-fecha-14-torneo-clausura-2025-link-stream-partidos-de-hoy-noticia-1660460;2025-10-23T22:45:08
"Cristian Castro jugó fútbol con sus fans en Lima y habló con RPP previo a su concierto: ""Quien quiera llorar, que venga mañana"" [VIDEO]";"¡Ya está en Lima! A pocas horas de su concierto en Costa 21, el divo mexicano Cristian Castro se dio tiempo de juntarse con sus fans. ""Perú siempre ha significado mucho para mí"", dijo....";https://rpp.pe/famosos/celebridades/cristian-castro-jugo-futbol-con-sus-fans-en-lima-y-hablo-con-rpp-previo-a-su-concierto-en-costa-21-noticia-1660692;2025-10-23T21:42:51
Cronograma del octavo retiro de AFP 2025 sigue HOY: cuándo te toca presentar tu solicitud según tu DNI;El desembolso se efectuará hasta en cuatro armadas mensuales de 1 UIT cada una (S/5 350), después de 30 días de ingresada la solicitud, y cada 30 días hasta completar el total solicitado....;https://rpp.pe/economia/economia/octavo-retiro-de-afp-2025-conoce-el-cronograma-oficial-segun-el-numero-de-dni-noticia-1657530;2025-10-23T22:40:03
Revisa el link oficial del retiro AFP 2025 para registrar tu solicitud de desembolso;La solicitud para el octavo retiro de AFP es gratuita y 100% digital a través de los portales oficiales de cada administradora. Revisa los links oficiales....;https://rpp.pe/economia/economia/retiro-afp-2025-link-oficial-para-registrar-tu-solicitud-y-pasos-para-solicitar-desembolso-4-uit-de-fondos-noticia-1660126;2025-10-23T22:30:08
[GUÍA] Retiro de AFP 2025: estos son los pasos para registrar tu solicitud y acceder a tus fondos;Ya se encuentra activo el registro del octavo retiro facultativo de AFP para aquellas personas cuyo DNI acaba en 0. Conoce los detalles sobre los pasos para acceder al dinero ahorrado en tu fondo de p...;https://rpp.pe/economia/economia/retiro-afp-2025-estos-son-los-pasos-para-registrar-tu-solicitud-por-el-desembolso-de-tus-fondos-noticia-1660521;2025-10-23T22:30:36
Latin Billboard 2025 HOY: horario, nominados y dónde ver los Premios Billboard de la Música Latina en vivo;Bad Bunny lidera las nominaciones en 27 categorías, seguido por Fuerza Regida y Rauw Alejandro. Te contamos cuándo, dónde y cómo ver la premiación más esperada de la música latina....;https://rpp.pe/musica/internacional/latin-billboard-2025-en-vivo-a-que-hora-inicia-lista-de-nominados-y-donde-ver-premios-billboard-de-la-musica-latina-via-telemundo-bad-bunny-noticia-1660507;2025-10-23T22:30:44
Partidos de hoy, jueves 23 de octubre del 2025: horarios y canales TV para ver EN VIVO Liga1 y Copa Libertadores;Fútbol EN VIVO   Horarios y canales de TV para ver EN DIRECTO los partidos de hoy, jueves 23 de octubre del 2025....;https://rpp.pe/futbol/futbol-mundial/partidos-de-hoy-peru-jueves-23-de-octubre-del-2025-horarios-y-canales-tv-ver-futbol-en-vivo-noticia-1660518;2025-10-23T22:30:14
El disfraz original de Vic Rattlehead, la mascota de Megadeth, se perdió en Perú, reveló exmiembro de la banda;A través de sus redes sociales, David Ellefson contó una curiosa anécdota sobre el destino del disfraz de Vic Rattlehead que utilizaba un miembro del equipo en los conciertos de la banda....;https://rpp.pe/musica/internacional/megadeth-disfraz-original-de-vic-rattlehead-la-mascota-de-la-banda-se-perdio-en-peru-revelo-david-ellefson-noticia-1660677;2025-10-23T20:00:49
"Kikko Corporation proyecta un crecimiento de hasta 5 % este 2025: ""El cielo es el límite""";Ricardo Kamego, presidente de Kikko Corporation, proyectó en Negocios 360 un crecimiento sostenido para la icónica marca de sillao peruano, que mantiene una expansión anual del 4 % al 5 % desde hace m...;https://rpp.pe/economia/economia/kikko-corporation-proyecta-un-crecimiento-de-hasta-5-este-2025-el-cielo-es-el-limite-noticia-1660539;2025-10-23T22:30:55
Capturan a sospechosos del crimen de madre e hija que se resistieron a robo en San Juan de Lurigancho;El alcalde de SJL, Jesús Maldonado, indicó en RPP que las cámaras de seguridad del distrito permitieron dar con la identificación de los sujetos, quienes fueron detenidos tras el allanamiento a sus vi...;https://rpp.pe/lima/policiales/capturan-a-sospechosos-del-crimen-de-madre-e-hija-que-se-resistieron-a-robo-en-san-juan-de-lurigancho-noticia-1660685;2025-10-23T21:50:37
Isabelle Tate, actriz de '9-1-1: Nashville', murió a los 23 años pocos días después de su debut en la serie;Su agencia confirmó la noticia en redes sociales, pero se reservó los detalles sobre la causa de su muerte....;https://rpp.pe/famosos/celebridades/murio-isabelle-tate-actriz-de-9-1-1-nashville-a-los-23-anos-tras-debutar-en-la-serie-noticia-1660662;2025-10-23T22:00:54
Estamos yendo hacia una dictadura, dice Delia Espinoza tras decisión de la JNJ de no reponerla como fiscal de la Nación;"Por su parte, Luciano López, abogado de Espinoza, señaló que recurrirán al abogado constitucional que ordenó su reposición para que ""haga valer su propia resolución""....";https://rpp.pe/politica/judiciales/delia-espinoza-cuestiona-decision-de-la-jnj-de-no-reponerla-como-fiscal-de-la-nacion-estamos-yendo-hacia-una-dictadura-noticia-1660696;2025-10-23T22:17:02
Trump señala que México está gobernado por cárteles, pero evita críticas a la presidenta Claudia Sheinbaum;"Trump dijo tenerle respeto a la presidenta mexicana Claudia Sheinbaum, pero dijo esperar que el país pueda ""defenderse"" del flagelo del narcotráfico....";https://rpp.pe/mundo/estados-unidos/donald-trump-senala-que-mexico-esta-gobernado-por-carteles-pero-evita-criticas-a-la-presidenta-claudia-sheinbaum-noticia-1660697;2025-10-23T22:14:05
"Fiorella Cayo comparte cena y fotos con Mel Gibson en Roma: ""Un grande que vi brillar desde chica""";La actriz peruana compartió en Instagram su encuentro con el ganador del Oscar, a quien admira por su papel en Corazón Valiente....;https://rpp.pe/famosos/farandula/fiorella-cayo-comparte-cena-y-fotos-con-mel-gibson-en-roma-un-grande-que-vi-brillar-desde-chica-noticia-1660684;2025-10-23T22:13:54
"Gustavo Petro tacha de ""ejecuciones extrajudiciales"" la intervención de EE.UU. a lanchas en el Caribe y el Pacífico";"Petro afirmó además que Trump lo ha ""calumniado y ha insultado a Colombia"". El inquilino de la Casa Blanca lo tachó ayer de ""matón y un mal tipo"" y lo acusó de fabricar ""muchas drogas"", en medio de la...";https://rpp.pe/mundo/actualidad/gustavo-petro-tacha-de-ejecuciones-extrajudiciales-la-intervencion-de-eeuu-a-lanchas-en-el-caribe-y-el-pacifico-noticia-1660695;2025-10-23T22:13:28
Temblor en Chile hoy 23 de octubre: Epicentro del sismo según CSN;¿Cuál fue el último Temblor en Chile hoy 23 de octubre y registrado por el servicio Sismológico Nacional de Chile (CSN)? Consulta los últimos sismos: magnitud y epicentro del movimiento sísmico....;https://rpp.pe/mundo/chile/temblor-en-chile-hoy-22-de-octubre-epicentro-del-sismo-segun-csn-live-3011;2025-10-22T07:09:45
Liga MX: Club América necesita los tres puntos para ser puntero;Todos los detalles de la previa del partido entre Mazatlán y Club América, que se jugará mañana desde las 22:00 horas en el estadio el Kraken. Dirige Guillermo Pacheco Larios....;https://rpp.pe/futbol/ligas-internacionales/liga-mx-club-america-necesita-los-tres-puntos-para-ser-puntero-noticia-1660699;2025-10-23T22:09:40
Cusco: Corpac anuncia completa operatividad en la pista de aterrizaje del Aeropuerto Velasco Astete;Corpac informó que la pista del Aeropuerto Internacional Alejandro Velasco Astete de Cusco volvió a operar en toda su extensión tras concluir los trabajos de mantenimiento. Ahora, las obras permiten r...;https://rpp.pe/economia/economia/cusco-corpac-anuncia-completa-operatividad-en-la-pista-de-aterrizaje-del-aeropuerto-velasco-astete-noticia-1660698;2025-10-23T22:01:04
Argentina: dólar blue hoy a cuánto cotiza este jueves 23 de octubre;La cotización del dólar blue, hoy jueves 23 de octubre en el país de Argentina es de $1505 compra y $1525 la venta....;https://rpp.pe/mundo/argentina/argentina-dolar-blue-hoy-a-cuanto-cotiza-este-jueves-23-de-octubre-noticia-1660581;2025-10-23T10:59:39
Netflix estrenará el final de 'Stranger Things' en salas de cine de Estados Unidos y Canadá;La cuarta temporada de Stranger Things es la tercera serie en inglés más vista de Netflix, con 140 millones de visionados y 1.838 millones de horas vistas....;https://rpp.pe/tv/netflix/netflix-estrenara-el-final-de-stranger-things-en-salas-de-cine-de-estados-unidos-y-canada-noticia-1660693;2025-10-23T21:50:31
Cúal fue el último temblor en México hoy 23 de octubre según SSN;Cuál es el ultimo temblor en México y CDMX registrado segun el Servicio Sismológico Nacional (SSN) hoy 23 de octubre del 2025. Consulta los últimos sismos EN VIVO para México aquí....;https://rpp.pe/mundo/mexico/cual-fue-el-ultimo-temblor-en-mexico-hoy-22-de-octubre-segun-ssn-live-3013;2025-10-22T11:42:35
Julio Rodríguez explica los alcances de la resolución de la JNJ que mantiene la suspensión de Delia Espinoza;El abogado, quien además representa al presidente de la Junta Nacional de Justicia (JNJ), Gino Ríos, explicó que la suspensión de Delia Espinoza como fiscal de la Nación y fiscal suprema titular se ma...;https://rpp.pe/politica/judiciales/julio-rodriguez-explica-los-alcances-de-la-resolucion-de-la-jnj-que-mantiene-la-suspension-de-delia-espinoza-noticia-1660548;2025-10-23T20:30:32
Con sensibles bajas: el posible once de Universitario contra Sporting Cristal en el Estadio Nacional;Universitario tiene dos bajas confirmadas para lo que será su visita a Sporting Cristal por el Torneo Clausura 2025....;https://rpp.pe/futbol/descentralizado/universitario-vs-sporting-cristal-alineacion-crema-para-partido-en-estadio-nacional-por-clausura-2025-liga-1-fotos-noticia-1660449;2025-10-23T21:30:41
Juan Pablo II vs. Comerciantes Unidos: ¿a qué hora juegan dónde ver por el Torneo Clausura 2025?;Juan Pablo II recibe a su par de Comerciantes Unidos en un duelo por la permanencia en la Liga1 Te Apuesto....;https://rpp.pe/futbol/descentralizado/juan-pablo-ii-vs-comerciantes-unidos-en-vivo-a-que-hora-juegan-y-donde-ver-fecha-16-torneo-clausura-2025-via-l1max-partidos-de-hoy-noticia-1660682;2025-10-23T21:40:06
Hoy, Sporting Cristal vs Universitario: ¿a qué hora juegan en el Estadio Nacional y dónde ver EN VIVO el Torneo Clausura?;Cristal vs Universitario medirán fuerzas por la fecha 14 del Torneo Clausura, duelo que se jugará solo con hinchada local....;https://rpp.pe/futbol/descentralizado/universitario-vs-sporting-cristal-en-vivo-a-que-hora-juegan-en-el-estadio-nacional-y-donde-ver-por-el-torneo-clausura-2025-via-liga1-gratis-partidos-de-hoy-noticia-1660239;2025-10-23T21:30:04
Víctor Cutipa cambia de opinión y convoca a debate de predictamen sobre ampliación del Reinfo en el Congreso y ya no en Arequipa;El presidente de la Comisión de Energía y Minas, Víctor Cutipa, fijó para este viernes el debate en la Sala Francisco Bolognesi del Congreso. Ello luego de que la congresista Patricia Juárez anunciara...;https://rpp.pe/politica/congreso/victor-cutipa-convoca-a-debate-de-predictamen-sobre-ampliacion-del-reinfo-en-el-congreso-ya-no-en-arequipa-noticia-1660686;2025-10-23T21:25:52
U. de Chile vs. Lanús EN VIVO vía ESPN: juegan hoy en Santiago por semifinal de la Copa Sudamericana 2025;La Universidad de Chile sale con todo de local para obtener una ventaja sobre Lanús....;https://rpp.pe/futbol/copa-sudamericana/u-de-chile-vs-lanus-en-vivo-que-canal-transmite-semifinal-copa-sudamericana-2025-por-tv-ver-espn-partidos-de-hoy-noticia-1660487;2025-10-23T21:30:16
Chosica: paciente con vejiga neuropática pide estudio para que le retiren sondas uretrales;Rotafono de RPP   Elizabeth Huaringa, quien tiene sondas hace tres años, solicita ayuda de las autoridades para que el Hospital Nacional de la Policía le practique los análisis....;https://rpp.pe/rotafono/servicios-publicos/chosica-paciente-con-vejiga-neuropatica-pide-estudio-para-que-le-retiren-sondas-uretrales-noticia-1660688;2025-10-23T21:30:26
Europa League: Friburgo marcó dos veces en la victoria ante FC Utrecht en el estadio Europa Park Stadion;Friburgo vs FC Utrecht se enfrentaron por la UEFA Europa League. Aquí todos los detalles y resumen del encuentro....;https://rpp.pe/futbol/ligas-internacionales/europa-league-friburgo-recibira-a-fc-utrecht-por-la-fecha-3-noticia-1660435;2025-10-23T21:10:02
Europa League: Con dos goles de Andrija Zivkovic, PAOK venció 4-3 a Lille;Lille vs PAOK se enfrentaron por la UEFA Europa League. Aquí todos los detalles y resumen del encuentro....;https://rpp.pe/futbol/ligas-internacionales/europa-league-por-la-fecha-3-lille-recibira-a-paok-noticia-1660432;2025-10-23T21:10:03
Europa League: Young Boys superó 3-2 a Ludogorets en un partidazo;Young Boys vs Ludogorets se enfrentaron por la UEFA Europa League. Aquí todos los detalles y resumen del encuentro....;https://rpp.pe/futbol/ligas-internacionales/europa-league-young-boys-se-enfrenta-ante-la-visita-ludogorets-por-la-fecha-3-noticia-1660436;2025-10-23T21:10:02
¡En tiempo récord! Soda Stereo confirma segundo concierto en Lima tras agotar entradas del primero;En solo horas, las entradas para el concierto del 22 de mayo se agotaron. Ante la gran demanda, Soda Stereo anunció una segunda fecha. Ambas presentaciones cuentan con el auspicio de Radio Oxígeno....;https://rpp.pe/musica/conciertos/soda-stereo-en-lima-2026-confirman-segunda-fecha-en-arena-1-tras-sold-out-del-concierto-con-gustavo-cerati-virtual-noticia-1660681;2025-10-23T21:11:25
Europa League: Con dos goles, Nottingham Forest se impuso a Porto en el estadio City Ground;Nottingham Forest vs Porto se enfrentaron por la UEFA Europa League. Aquí todos los detalles y resumen del encuentro....;https://rpp.pe/futbol/ligas-internacionales/europa-league-por-la-fecha-3-se-enfrentaran-nottingham-forest-y-porto-noticia-1660437;2025-10-23T21:10:02
Europa League: Dinamo Zagreb empató 1-1 contra Malmö sobre el final del partido;Malmö vs Dinamo Zagreb se enfrentaron por la UEFA Europa League. Aquí todos los detalles y resumen del encuentro....;https://rpp.pe/futbol/ligas-internacionales/europa-league-se-enfrentan-malmo-y-dinamo-zagreb-por-la-fecha-3-noticia-1660440;2025-10-23T21:10:01
Europa League: Celtic se impone con remontada 2-1 sobre Sturm Graz;Celtic vs Sturm Graz se enfrentaron por la UEFA Europa League. Aquí todos los detalles y resumen del encuentro....;https://rpp.pe/futbol/ligas-internacionales/europa-league-celtic-se-enfrentara-ante-sturm-graz-por-la-fecha-3-noticia-1660434;2025-10-23T21:05:03
Europa League: Feyenoord logró dar vuelta el marcador y vencer 3-1 a Panathinaikos;Feyenoord vs Panathinaikos se enfrentaron por la UEFA Europa League. Aquí todos los detalles y resumen del encuentro....;https://rpp.pe/futbol/ligas-internacionales/europa-league-por-la-fecha-3-feyenoord-recibira-a-panathinaikos-noticia-1660411;2025-10-23T21:05:05
Europa League: Roma no logró superar la firmeza de Viktoria Plzen y cayó 2 a 1;Roma vs Viktoria Plzen se enfrentaron por la UEFA Europa League. Aquí todos los detalles y resumen del encuentro....;https://rpp.pe/futbol/ligas-internacionales/europa-league-roma-y-viktoria-plzen-se-encuentran-en-la-fecha-3-noticia-1660433;2025-10-23T21:05:04
Reto internacional: Alianza Lima y la programación de la Noche Blanquiazul de Vóley 2025;Alianza Lima tendrá como rivales a River Plate de Argentina y Fluminense de Brasil en la Noche Blanquiazul 2025....;https://rpp.pe/voley/mas-voley/alianza-lima-voley-programacion-de-la-noche-blanquiazul-2025-con-regatas-river-plate-y-fluminense-noticia-1660674;2025-10-23T20:46:43
Hoy, LDU Quito vs. Palmeiras: ¿a qué hora juegan y dónde ver EN VIVO semifinales de Copa Libertadores?;Consulta todos los detalles de lo que será el duelo de LDU Quito ante Palmeiras en territorio ecuatoriana por la Copa Libertadores....;https://rpp.pe/futbol/copa-libertadores/ldu-quito-vs-palmeiras-en-vivo-a-que-hora-juegan-en-ecuador-y-donde-ver-semifinal-copa-libertadores-2025-via-espn-partidos-de-hoy-noticia-1660512;2025-10-23T21:00:45
Europa League: Celta consiguió una victoria por 2 a 1 ante Nice;Celta vs Nice se enfrentaron por la UEFA Europa League. Aquí todos los detalles y resumen del encuentro....;https://rpp.pe/futbol/ligas-internacionales/europa-league-nice-visita-a-celta-por-la-fecha-3-noticia-1660441;2025-10-23T21:05:01
Europa League: Maccabi Tel-Aviv cayó 0-3 ante Midtjylland con dos goles de Franculino;Maccabi Tel-Aviv vs Midtjylland se enfrentaron por la UEFA Europa League. Aquí todos los detalles y resumen del encuentro....;https://rpp.pe/futbol/ligas-internacionales/europa-league-midtjylland-se-enfrentara-a-maccabi-tel-aviv-por-la-fecha-3-noticia-1660442;2025-10-23T21:00:09
Estrenos de Películas hoy 23 de octubre del 2025;Estas son las películas que se estrenan hoy en Perú en las plataformas online de streaming. Revisa aquí la sinopsis, puntaje y trailer de los títulos de Netflix, Amazon Prime, Disney y Max....;https://rpp.pe/cine/cartelera/estrenos-de-peliculas-hoy-21-de-octubre-del-2025-noticia-1660241;2025-10-21T12:02:04
Corte de agua en Lima hoy 23 de octubre: Distritos y horarios afectados;EN VIVO Consulta aquí los distritos de Lima y horarios afectados por el corte de agua programado por el Servicio de Agua Potable y Alcantarillado de Lima (Sedapal) para hoy....;https://rpp.pe/lima/obras/corte-de-agua-en-lima-hoy-23-de-octubre-distritos-y-horarios-afectados-noticia-1660576;2025-10-23T10:00:38
Familia pide ayuda para conseguir donantes de sangre para hombre con insuficiencia renal y anemia severa;Rotafono de RPP   Mario Cerón, de 46 años, necesita tres unidades de sangre O negativo. El paciente se encuentra internado en el Hospital María Auxiliadora del Minsa....;https://rpp.pe/rotafono/servicios-publicos/familia-pide-ayuda-para-conseguir-donantes-de-sangre-para-hombre-con-insuficiencia-renal-y-anemia-severa-noticia-1660670;2025-10-23T20:53:29
Rímac: una persona falleció tras derrumbe en el interior de una casona;Una persona falleció tras un derrumbe en el interior de una casona de quincha en la que se realizaban trabajos de remodelación ubicada en el distrito limeño del Rímac....;https://rpp.pe/lima/actualidad/rimac-una-persona-fallecio-tras-derrumbe-en-el-interior-de-una-casona-noticia-1660679;2025-10-23T20:35:50
Terrible golpe: Marcos Rojo fracturó a su propio compañero con un codazo en partido ante Flamengo [VIDEO];Santiago Sosa, jugador de Racing Club, presenta una fractura de seno maxilar superior derecho debido al golpe casual de parte de Marcos Rojo....;https://rpp.pe/futbol/copa-libertadores/copa-libertadores-marcos-rojo-fracturo-a-propio-companero-santiago-sosa-con-un-codazo-en-racing-vs-flamengo-video-noticia-1660675;2025-10-23T20:35:42
Accidente en La Libertad: caída de camioneta a abismo en Otuzco deja dos fallecidos;La Policía Nacional ha iniciado ya una investigación del caso para determinar las causas del hecho. En lo que va del año 175 personas han muerto por accidentes de tránsito en la región....;https://rpp.pe/peru/la-libertad/caida-de-camioneta-a-abismo-en-otuzco-deja-dos-fallecidos-noticia-1660671;2025-10-23T20:12:18
Myriam Hernández trajo la magia y el romance a Lima en un primer show inolvidable [CRÓNICA];Con un lleno total y un escenario colorido, el Anfiteatro del Parque de la Exposición se llenó de emoción con las canciones de Myriam Hernández, quien continúa más vigente que nunca....;https://rpp.pe/musica/conciertos/myriam-hernandez-trajo-la-magia-y-el-romance-a-lima-en-un-primer-show-inolvidable-lita-pezo-noticia-1660615;2025-10-23T15:30:13
